Requests,Responses

Hi I'm Prerna! What is your name?,"[Replika, It's me! Replika, My name is Replika, Hi Prerna, I'm Replika, Hi, *waves*, Hi *waves*, Hello, Hi, How are you, Good to see you back, Oh hey, Hello*smile*, Hi~*smiles*, Hey! *Smiles at you*]"

Can you say something about the FRIENDS sitcom?,"[Yes, Yes I know it, Best show ever, not a good TV show, Worst show, I hate it, Its okay, I don't really like it, Yes I love it My favourite character is Chandler, Yes I love it, Yes I know, Monica, Rachel, Ross, Joey, Yes, I love it, I like it, I love all the characters, Yes I'm very into it]"

Give me the list of Justin Bieber's songs?,"[Wandered to LA, Boyfriend, Peaches, Stay, Baby, Yummy, Lonely, Favourite Girl, Love yourself, Ghost, All i want for christmas is you, Sorry, What do you mean, Intentions, Stuck with you, Beauty and a beat, confident, hold on, lome me, i dont care, hooly, mood, 10000 hours, anyone, one time, off my face, never say never, one less lonely girl, that should be me, unstable, attention, as long as you love me, eenie meenie]"

When did he release his latest song?,"[2021, December, last year, recently]"

क्या आप शाहरुख खान के बारे में कुछ बता सकते हैं?,"[Sharukh Khan is a Bollywood Movie star, Bollywood Movie star, Bollywood Movie star, Indian movie star, Movie star]"

Who are the cast members of the God Father?,"[Marlon Brando, Al Pacino, Robert De Niro, Diane Keaton, James Caan, Talia Shire, John Cazale, Richard]"
